"id","name","streetAddress","city","state","country","postal"
"on-public:B29106:698725","École secondaire catholique Cité des Jeunes","10 Cité des Jeunes boulevard","Kapuskasing","Ontario","Canada","P5N 2K2"
"on-public:B67326:695050","École secondaire catholique de Casselman","778 Brébeuf rue","Casselman","Ontario","Canada","K0A 1M0"
"on-public:B67334:705373","École secondaire catholique de l’innovation","801 de l'Aviation prom.","Ottawa","Ontario","Canada","K1K 4R3"
"on-public:B29130:701718","École secondaire catholique de La Vérendrye","175 High Nord rue","Thunder Bay","Ontario","Canada","P7A 8C7"
"on-public:B67326:752720","École secondaire catholique de Plantagenet","6150 de comté 17 chemin","Plantagenet","Ontario","Canada","K0B 1L0"
"on-public:B29130:867587","École secondaire catholique des satellites","161 Airport, Empl 118, Comp 45 chemin 4","Dryden","Ontario","Canada","P8N 0A2"
"on-public:B67300:704717","École secondaire catholique E.J.Lajeunesse","600 E C Row ouest avenue","Windsor","Ontario","Canada","N9E 1A5"
"on-public:B67326:704920","École secondaire catholique Embrun","1276 St-Jacques rue","Embrun","Ontario","Canada","K0A 1W0"
"on-public:B67334:705233","École secondaire catholique Franco-Cité","623, Smyth chemin","Ottawa","Ontario","Canada","K1G 1N7"
"on-public:B29114:710660","École secondaire catholique Franco-Cité","90 Main rue","Sturgeon Falls","Ontario","Canada","P2B 2Z7"
"on-public:B67334:694827","École secondaire catholique Franco-Ouest","411 Seyton prom.","Nepean","Ontario","Canada","K2H 8X1"
"on-public:B67334:710903","École secondaire catholique Garneau","6588 Carrière rue","Orléans","Ontario","Canada","K1C 1J4"
"on-public:B29106:835005","École secondaire catholique Georges-Vanier","120 Ross chemin","Smooth Rock Falls","Ontario","Canada","P0L 2B0"
"on-public:B29106:711110","École secondaire catholique Hearst","30 10e rue","Hearst","Ontario","Canada","P0L 1N0"
"on-public:B67334:696021","École secondaire catholique Jeanne-Lajoie","1257 Pembroke Ouest rue","Pembroke","Ontario","Canada","K8A 5R3"
"on-public:B29122:705004","École secondaire catholique Jeunesse-Nord","117 Youngfox chemin","Blind River","Ontario","Canada","P0R 1B0"
"on-public:B29106:686085","École secondaire catholique L'Alliance","Suite 3e étage, 44 Anson promenade","Iroquois Falls","Ontario","Canada","P0K 1E0"
"on-public:B67334:723409","École secondaire catholique L'Envol","45 Johnson Drive","Trenton","Ontario","Canada","K8V 6V7"
"on-public:B29106:705020","École secondaire catholique l’Envolée du Nord","54 Duncan Sud avenue","Kirkland Lake","Ontario","Canada","P2N 1Y1"
"on-public:B67326:728330","École secondaire catholique L'Escale","1535 du Parc avenue","Rockland","Ontario","Canada","K4K 1K6"
"on-public:B67300:728772","École secondaire catholique l'Essor","13605 St.Gregory chemin","Tecumseh","Ontario","Canada","N8N 3E4"
"on-public:B29122:771473","École secondaire catholique l'Horizon","1650 Valleyview chemin","Val Caron","Ontario","Canada","P3N 1K7"
"on-public:B67326:725684","École secondaire catholique La Citadelle","510 McConnell avenue","Cornwall","Ontario","Canada","K6H 4M1"
"on-public:B29122:755770","École secondaire catholique La Renaissance","301 Church rue","Espanola","Ontario","Canada","P5E 1B3"
"on-public:B67326:752908","École secondaire catholique Le Relais","100 McNabb rue","Alexandria","Ontario","Canada","K0C 1A0"
"on-public:B29114:710504","École secondaire catholique Élisabeth-Bruyère","359 Brydges rue","Mattawa","Ontario","Canada","P0H 1V0"
"on-public:B67334:846435","École secondaire catholique Mer Bleue","6401 Renaud Rd","Orléans","Ontario","Canada","K1W 0H8"
"on-public:B67300:708500","École secondaire catholique Monseigneur-Bruyère","920 Huron rue","London","Ontario","Canada","N5Y 4K4"
"on-public:B67334:804005","École secondaire catholique Notre-Dame","11 Beattie Lane","Kemptville","Ontario","Canada","K0G 1J0"
"on-public:B67300:705438","École secondaire catholique Notre-Dame","700 Bristol rue","Woodstock","Ontario","Canada","N4T 0E4"
"on-public:B67334:758231","École secondaire catholique Paul-Desmarais","5315 Abbott","Ottawa","Ontario","Canada","K2S 0X3"
"on-public:B67334:832670","École secondaire catholique Pierre-Savard","1110 Longfields prom.","Nepean","Ontario","Canada","K2J 0H9"
"on-public:B67326:713740","École secondaire catholique régionale de Hawkesbury","572 Kitchener rue","Hawkesbury","Ontario","Canada","K6A 2P3"
"on-public:B67300:705101","École secondaire catholique Saint-Dominique-Savio","800 23e est rue","Owen Sound","Ontario","Canada","N4K 6Z5"
"on-public:B67300:791601","École secondaire catholique Saint-François-Xavier","901 Les Rapides promenade","Sarnia","Ontario","Canada","N7S 6K2"
"on-public:B67334:735353","École secondaire catholique Saint-Jean-Baptiste","96 Empress Ave","Ottawa","Ontario","Canada","K1R 7G3"
"on-public:B29122:701700","École secondaire catholique Saint-Joseph","101 Churchill avenue","Wawa","Ontario","Canada","P0S 1K0"
"on-public:B29106:822507","École secondaire catholique Sainte-Marie","340 Hessle avenue","New Liskeard","Ontario","Canada","P0J 1P0"
"on-public:B67334:750085","École secondaire catholique Sainte-Marie-Rivier","1381 Demers av.","Kingston","Ontario","Canada","K7M 0J1"
"on-public:B67334:695955","École secondaire catholique Samuel-Genest","704 Carson's chemin","Ottawa","Ontario","Canada","K1K 2H3"
"on-public:B29106:864650","École secondaire catholique Thériault","341 Thériault boulevard","Timmins","Ontario","Canada","P4N 7K3"
"on-public:B29122:704970","École secondaire catholique Trillium","9 Broomhead rue","Chapleau","Ontario","Canada","P0M 1K0"
"on-public:B28118:912573","École secondaire Château-Jeunesse","167 Centennial promenade","Longlac","Ontario","Canada","P0T 2A0"
"on-public:B28118:924792","École secondaire Cité-Supérieure","14 Hemlo promenade","Marathon","Ontario","Canada","P0T 2E0"
"on-public:B66303:922089","École secondaire David Saint-Jacques","80 Burlington Drive","Kitchener","Ontario","Canada","N2B 1T5"
"on-public:B28118:911100","École secondaire de la Rivière-des-Français","11 Lahaie rue","Noëlville","Ontario","Canada","P0M 2N0"
"on-public:B66303:961008","École secondaire de Lamothe-Cadillac","1775 TOTTEN ST","WINDSOR","Ontario","Canada","N9B 1X4"
"on-public:B29122:705110","École secondaire du Sacré-Coeur","261 Notre-Dame avenue","Sudbury","Ontario","Canada","P3C 5K4"
"on-public:B66303:909858","École secondaire Franco-Jeunesse","901 promenade Rapids av","Sarnia","Ontario","Canada","N7S 6K2"
"on-public:B66303:907553","École secondaire Franco-Niagara","670 Tanguay avenue","Welland","Ontario","Canada","L3B 4G2"
"on-public:B66303:914723","École secondaire Gaétan Gervais","1075 McCraney Rue","OAKVILLE","Ontario","Canada","L6H 1H9"
"on-public:B66303:910554","École secondaire Gabriel-Dumont","2463 boulevard Evans","London","Ontario","Canada","N6M 0B1"
"on-public:B66303:907308","École secondaire Georges-P-Vanier","100 Macklin N rue","Hamilton","Ontario","Canada","L8S 3S1"
"on-public:B28118:907448","École secondaire Hanmer","4800 Notre Dame ave","Hanmer","Ontario","Canada","P3P 1X5"
"on-public:B66303:907642","École secondaire Jeunes sans frontières","7585 Financial promenade","Brampton","Ontario","Canada","L6Y 5P4"
"on-public:B28100:918296","École secondaire l'Alliance","296 Cambridge avenue","Iroquois Falls","Ontario","Canada","P0K 1E0"
"on-public:B28118:890817","École secondaire l'Orée des Bois","159 Avenue du Parc","Dubreuilville","Ontario","Canada","P0S 1B0"
"on-public:B66303:934852","École secondaire Le Caron","22 John rue","Penetanguishene","Ontario","Canada","L9M 1N8"
"on-public:B28118:907570","École secondaire Macdonald-Cartier","37 Lasalle ouest boul","Sudbury","Ontario","Canada","P3A 1W1"
"on-public:B66303:954651","École secondaire Michelle-O'Bonsawin","24 Mountjoy Avenue","Toronto","Ontario","Canada","M4J 1J6"
"on-public:B66303:896889","École secondaire Norval-Morrisseau","51 Wright rue","Richmond Hill","Ontario","Canada","L4C 4A1"
"on-public:B29122:707511","École secondaire Notre-Dame-du-Sault","600 North rue","Sault Ste Marie","Ontario","Canada","P6B 2B9"
"on-public:B67300:707015","École secondaire Pain Court","PO Box C.P.100, 14 Notre Dame rue","Pain Court","Ontario","Canada","N0P 1Z0"
"on-public:B28100:966753","École secondaire Passeport Jeunesse","75 9e Rue","Hearst","Ontario","Canada","P0L 1N0"
"on-public:B28100:922874","École secondaire publique aux Quatre-Vents","1 College Promenade","Parry Sound","Ontario","Canada","P2A 0A9"
"on-public:B66311:891328","École secondaire publique Campus secondaire l'Héritage","33 Lochiel Street","Alexandria","Ontario","Canada","K0C 1A0"
"on-public:B66311:907430","École secondaire publique De La Salle","501 ancienne St-Patrick rue","Ottawa","Ontario","Canada","K1N 8R3"
"on-public:B28100:919055","École secondaire publique Echo du Nord","2 Montgomery avenue","Kapuskasing","Ontario","Canada","P5N 0A4"
"on-public:B66311:912662","École secondaire publique Gisèle-Lalonde","500 Millennium boulevard","Orléans","Ontario","Canada","K4A 4X3"
"on-public:B66311:898582","École secondaire publique L'Académie de la Seigneurie","731 des Pommiers rue","Casselman","Ontario","Canada","K0A 1M0"
"on-public:B66311:920550","École secondaire publique L'Alternative","2720 Richmond Rd","Ottawa","Ontario","Canada","K2B 6S2"
"on-public:B66311:907464","École secondaire publique L'Héritage","1111 Montréal chemin","Cornwall","Ontario","Canada","K6H 1E1"
"on-public:B66311:907480","École secondaire publique L'Équinoxe","399 Isabella rue","PEMBROKE","Ontario","Canada","K8A 5T4"
"on-public:B66311:949540","École secondaire publique Le Sommet","894 Cécile boulevard","Hawkesbury","Ontario","Canada","K6A 3R5"
"on-public:B66311:904945","École secondaire publique Louis-Riel","1655 Bearbrook chemin","Gloucester","Ontario","Canada","K1B 4N3"
