"id","name","boardName","schoolSpecialConditions","streetAddress","city","state","country","postal"
"on-provider:B66117:947245","Dufferin Centre for Continuing Education","Upper Grand DSB","Adult","40 Amelia St","Orangeville","Ontario","Canada","L9W 3T8"
"on-provider:B66117:981845","Dufferin Summer School","Upper Grand DSB","Summer","40 Amelia St","Orangeville","Ontario","Canada","L9W 3T8"
"on-provider:B67105:980960","Durham Catholic District School Board Summer School","Durham CDSB","Summer","Suite ConEd, 700 Stevenson Road","Oshawa","Ontario","Canada","L1J 5P5"
"on-provider:B67105:856989","Durham Catholic Virtual Secondary School","Durham CDSB","Remote School","650 Rossland Road","Oshawa","Ontario","Canada","L1J 7C4"
"on-provider:B66060:992224","Durham Continuing Education","Durham DSB","Continuing Education","120 CENTRE ST","OSHAWA","Ontario","Canada","L1H 4A3"
"on-provider:B66060:980420","Durham Continuing Education Summer School","Durham DSB","Summer","120 Centre St","Oshawa","Ontario","Canada","L1H 4A3"
"on-provider:B66133:926685","eLearning Campus","Halton DSB","Online School","2050 Guelph Line","Burlington","Ontario","Canada","L7P 5A8"
"on-provider:B66052:992321","Emery Adult Learning Centre","Toronto DSB","Continuing Education","3395 Weston Rd","North York","Ontario","Canada","M9M 2V9"
"on-provider:B28029:992275","Espanola Night School","Rainbow DSB","Continuing Education","147 Spruce St","Espanola","Ontario","Canada","P5E 1R7"
"on-provider:B67156:999571","Father Patrick H. Fogarty","Niagara CDSB","Continuing Education","269 Thorold Rd","Welland","Ontario","Canada","L3C 3W1"
"on-provider:B66044:992054","G A Wheable Day School School","Thames Valley DSB","Continuing Education","Suite c/o Wheable Centre for Adult Ed, 70 Jacqueline St","London","Ontario","Canada","N5Z 3P7"
"on-provider:B66044:995100","G A Wheable Night School Night School","Thames Valley DSB","Continuing Education","70 Jacqueline St","London","Ontario","Canada","N5Z 3P7"
"on-provider:B66044:998013","G.A. Wheable School of Continuing Educat School","Thames Valley DSB","Continuing Education","70 Jacqueline Street","London","Ontario","Canada","N5Z 3P7"
"on-provider:B66044:995930","G.A. Wheable School of Independent Study School","Thames Valley DSB","Continuing Education","70 Jacqueline Street","London","Ontario","Canada","N5Z 3P7"
"on-provider:B66044:980170","G.A. Wheable Summer School","Thames Valley DSB","Summer","70 Jacqueline St","London","Ontario","Canada","N5Z 3P7"
"on-provider:B66133:993565","Gary Allan High School - Continuing Ed School","Halton DSB","Continuing Education","3250 New Street","Burlington","Ontario","Canada","L7N 1M8"
"on-provider:B66133:993476","Gary Allan High School - Night School","Halton DSB","Continuing Education","3250 New Street","Burlington","Ontario","Canada","L7N 1M8"
"on-provider:B66206:911585","Gateway Community Education Centre","Limestone DSB","Continuing Education","33 Advance Avenue","Napanee","Ontario","Canada","K7R 3Y5"
